id,nombre,precio,precio_al_publico,precio_prestador,precio_con_reserva,comision_prestador,stock,tenant_id
1,Shampoo de Argán Orgánico,45000.00,45000.00,29250.00,38250.00,4500.00,45,9
2,Acondicionador de Coco Nutritivo,38000.00,38000.00,24700.00,32300.00,3800.00,39,9
3,Mascarilla Reparadora de Queratina,55000.00,55000.00,35750.00,46750.00,5500.00,30,9
4,Esmalte Semipermanente Glow Red,18000.00,18000.00,11700.00,15300.00,1800.00,100,9
5,Aceite Hidratante para Cutículas,12000.00,12000.00,7800.00,10200.00,1200.00,60,9
6,Paleta de Sombras Nude,75000.00,75000.00,48750.00,63750.00,7500.00,25,9
7,Base de Maquillaje Matificante,62000.00,62000.00,40300.00,52700.00,6200.00,35,9
8,Labial Líquido Mate Larga Duración,28000.00,28000.00,18200.00,23800.00,2800.00,80,9
9,Cera Elástica de Miel (1kg),45000.00,0.00,45000.00,0.00,0.00,50,9
10,Kit Pestañas Premium (Melted),90000.00,0.00,90000.00,0.00,0.00,30,9
23,Shampoo de Argán Orgánico,45000.00,45000.00,29250.00,38250.00,4500.00,50,9
24,Acondicionador de Coco Nutritivo,38000.00,38000.00,24700.00,32300.00,3800.00,40,9
25,Mascarilla Reparadora de Queratina,55000.00,55000.00,35750.00,46750.00,5500.00,30,9
26,Esmalte Semipermanente Glow Red,18000.00,18000.00,11700.00,15300.00,1800.00,100,9
27,Aceite Hidratante para Cutículas,12000.00,12000.00,7800.00,10200.00,1200.00,60,9
28,Paleta de Sombras Nude,75000.00,75000.00,48750.00,63750.00,7500.00,25,9
29,Base de Maquillaje Matificante,62000.00,62000.00,40300.00,52700.00,6200.00,35,9
30,Labial Líquido Mate Larga Duración,28000.00,28000.00,18200.00,23800.00,2800.00,80,9
31,Cera Elástica de Miel (1kg),45000.00,0.00,45000.00,0.00,0.00,50,9
32,Kit Pestañas Premium (Melted),90000.00,0.00,90000.00,0.00,0.00,30,9
45,Shampoo de Argán Orgánico,45000.00,45000.00,29250.00,38250.00,4500.00,50,9
46,Acondicionador de Coco Nutritivo,38000.00,38000.00,24700.00,32300.00,3800.00,40,9
47,Mascarilla Reparadora de Queratina,55000.00,55000.00,35750.00,46750.00,5500.00,30,9
48,Esmalte Semipermanente Glow Red,18000.00,18000.00,11700.00,15300.00,1800.00,100,9
49,Aceite Hidratante para Cutículas,12000.00,12000.00,7800.00,10200.00,1200.00,60,9
50,Paleta de Sombras Nude,75000.00,75000.00,48750.00,63750.00,7500.00,25,9
51,Base de Maquillaje Matificante,62000.00,62000.00,40300.00,52700.00,6200.00,35,9
52,Labial Líquido Mate Larga Duración,28000.00,28000.00,18200.00,23800.00,2800.00,80,9
53,Cera Elástica de Miel (1kg),45000.00,0.00,45000.00,0.00,0.00,50,9
54,Kit Pestañas Premium (Melted),90000.00,0.00,90000.00,0.00,0.00,30,9
67,Shampoo de Argán Orgánico,45000.00,45000.00,29250.00,38250.00,4500.00,50,9
68,Acondicionador de Coco Nutritivo,38000.00,38000.00,24700.00,32300.00,3800.00,40,9
69,Mascarilla Reparadora de Queratina,55000.00,55000.00,35750.00,46750.00,5500.00,30,9
70,Esmalte Semipermanente Glow Red,18000.00,18000.00,11700.00,15300.00,1800.00,100,9
71,Aceite Hidratante para Cutículas,12000.00,12000.00,7800.00,10200.00,1200.00,60,9
72,Paleta de Sombras Nude,75000.00,75000.00,48750.00,63750.00,7500.00,25,9
73,Base de Maquillaje Matificante,62000.00,62000.00,40300.00,52700.00,6200.00,35,9
74,Labial Líquido Mate Larga Duración,28000.00,28000.00,18200.00,23800.00,2800.00,80,9
75,Cera Elástica de Miel (1kg),45000.00,0.00,45000.00,0.00,0.00,50,9
76,Kit Pestañas Premium (Melted),90000.00,0.00,90000.00,0.00,0.00,30,9
89,Shampoo de Argán Orgánico,45000.00,45000.00,29250.00,38250.00,4500.00,50,9
90,Acondicionador de Coco Nutritivo,38000.00,38000.00,24700.00,32300.00,3800.00,40,9
91,Mascarilla Reparadora de Queratina,55000.00,55000.00,35750.00,46750.00,5500.00,30,9
92,Esmalte Semipermanente Glow Red,18000.00,18000.00,11700.00,15300.00,1800.00,100,9
93,Aceite Hidratante para Cutículas,12000.00,12000.00,7800.00,10200.00,1200.00,60,9
94,Paleta de Sombras Nude,75000.00,75000.00,48750.00,63750.00,7500.00,25,9
95,Base de Maquillaje Matificante,62000.00,62000.00,40300.00,52700.00,6200.00,35,9
96,Labial Líquido Mate Larga Duración,28000.00,28000.00,18200.00,23800.00,2800.00,80,9
97,Cera Elástica de Miel (1kg),45000.00,0.00,45000.00,0.00,0.00,50,9
98,Kit Pestañas Premium (Melted),90000.00,0.00,90000.00,0.00,0.00,30,9
111,Shampoo de Argán Orgánico,45000.00,45000.00,29250.00,38250.00,4500.00,50,9
112,Acondicionador de Coco Nutritivo,38000.00,38000.00,24700.00,32300.00,3800.00,40,9
113,Mascarilla Reparadora de Queratina,55000.00,55000.00,35750.00,46750.00,5500.00,30,9
114,Esmalte Semipermanente Glow Red,18000.00,18000.00,11700.00,15300.00,1800.00,100,9
115,Aceite Hidratante para Cutículas,12000.00,12000.00,7800.00,10200.00,1200.00,60,9
116,Paleta de Sombras Nude,75000.00,75000.00,48750.00,63750.00,7500.00,25,9
117,Base de Maquillaje Matificante,62000.00,62000.00,40300.00,52700.00,6200.00,35,9
118,Labial Líquido Mate Larga Duración,28000.00,28000.00,18200.00,23800.00,2800.00,80,9
119,Cera Elástica de Miel (1kg),45000.00,0.00,45000.00,0.00,0.00,50,9
120,Kit Pestañas Premium (Melted),90000.00,0.00,90000.00,0.00,0.00,30,9
144,Shampoo de Argán Orgánico,45000.00,45000.00,29250.00,38250.00,4500.00,50,9
145,Acondicionador de Coco Nutritivo,38000.00,38000.00,24700.00,32300.00,3800.00,40,9
146,Mascarilla Reparadora de Queratina,55000.00,55000.00,35750.00,46750.00,5500.00,30,9
147,Esmalte Semipermanente Glow Red,18000.00,18000.00,11700.00,15300.00,1800.00,100,9
148,Aceite Hidratante para Cutículas,12000.00,12000.00,7800.00,10200.00,1200.00,60,9
149,Paleta de Sombras Nude,75000.00,75000.00,48750.00,63750.00,7500.00,25,9
150,Base de Maquillaje Matificante,62000.00,62000.00,40300.00,52700.00,6200.00,35,9
151,Labial Líquido Mate Larga Duración,28000.00,28000.00,18200.00,23800.00,2800.00,80,9
152,Cera Elástica de Miel (1kg),45000.00,0.00,45000.00,0.00,0.00,50,9
153,Kit Pestañas Premium (Melted),90000.00,0.00,90000.00,0.00,0.00,30,9
168,Shampoo de Argán Orgánico,45000.00,45000.00,29250.00,38250.00,4500.00,50,9
169,Acondicionador de Coco Nutritivo,38000.00,38000.00,24700.00,32300.00,3800.00,40,9
170,Mascarilla Reparadora de Queratina,55000.00,55000.00,35750.00,46750.00,5500.00,30,9
171,Esmalte Semipermanente Glow Red,18000.00,18000.00,11700.00,15300.00,1800.00,100,9
172,Aceite Hidratante para Cutículas,12000.00,12000.00,7800.00,10200.00,1200.00,60,9
173,Paleta de Sombras Nude,75000.00,75000.00,48750.00,63750.00,7500.00,25,9
174,Base de Maquillaje Matificante,62000.00,62000.00,40300.00,52700.00,6200.00,35,9
175,Labial Líquido Mate Larga Duración,28000.00,28000.00,18200.00,23800.00,2800.00,80,9
176,Cera Elástica de Miel (1kg),45000.00,0.00,45000.00,0.00,0.00,50,9
177,Kit Pestañas Premium (Melted),90000.00,0.00,90000.00,0.00,0.00,30,9
190,Shampoo de Argán Orgánico,45000.00,45000.00,29250.00,38250.00,4500.00,50,9
191,Acondicionador de Coco Nutritivo,38000.00,38000.00,24700.00,32300.00,3800.00,40,9
192,Mascarilla Reparadora de Queratina,55000.00,55000.00,35750.00,46750.00,5500.00,30,9
193,Esmalte Semipermanente Glow Red,18000.00,18000.00,11700.00,15300.00,1800.00,100,9
194,Aceite Hidratante para Cutículas,12000.00,12000.00,7800.00,10200.00,1200.00,60,9
195,Paleta de Sombras Nude,75000.00,75000.00,48750.00,63750.00,7500.00,25,9
196,Base de Maquillaje Matificante,62000.00,62000.00,40300.00,52700.00,6200.00,35,9
197,Labial Líquido Mate Larga Duración,28000.00,28000.00,18200.00,23800.00,2800.00,80,9
198,Cera Elástica de Miel (1kg),45000.00,0.00,45000.00,0.00,0.00,50,9
199,Kit Pestañas Premium (Melted),90000.00,0.00,90000.00,0.00,0.00,30,9
212,Shampoo de Argán Orgánico,45000.00,45000.00,29250.00,38250.00,4500.00,50,9
213,Acondicionador de Coco Nutritivo,38000.00,38000.00,24700.00,32300.00,3800.00,40,9
214,Mascarilla Reparadora de Queratina,55000.00,55000.00,35750.00,46750.00,5500.00,30,9
215,Esmalte Semipermanente Glow Red,18000.00,18000.00,11700.00,15300.00,1800.00,100,9
216,Aceite Hidratante para Cutículas,12000.00,12000.00,7800.00,10200.00,1200.00,60,9
217,Paleta de Sombras Nude,75000.00,75000.00,48750.00,63750.00,7500.00,25,9
218,Base de Maquillaje Matificante,62000.00,62000.00,40300.00,52700.00,6200.00,35,9
219,Labial Líquido Mate Larga Duración,28000.00,28000.00,18200.00,23800.00,2800.00,80,9
220,Cera Elástica de Miel (1kg),45000.00,0.00,45000.00,0.00,0.00,50,9
221,Kit Pestañas Premium (Melted),90000.00,0.00,90000.00,0.00,0.00,30,9
234,Shampoo de Argán Orgánico,45000.00,45000.00,29250.00,38250.00,4500.00,50,9
235,Acondicionador de Coco Nutritivo,38000.00,38000.00,24700.00,32300.00,3800.00,40,9
